iter	Passed	Remaining
1559	176439	162866
1560	176569	162769
1561	176719	162690
1562	176859	162602
1563	176977	162493
1564	177087	162377
1565	177192	162257
1566	177293	162132
1567	177406	162018
1568	177524	161910
1569	177654	161812
1570	177758	161691
1571	177867	161574
1572	177992	161472
1573	178095	161349
1574	178198	161227
1575	178310	161112
1576	178425	161001
1577	178538	160888
1578	178641	160766
1579	178763	160661
1580	178864	160536
1581	178976	160422
1582	179112	160330
1583	179218	160210
1584	179310	160078
1585	179407	159951
1586	179529	159845
1587	179629	159721
1588	179727	159594
1589	179834	159476
1590	179964	159377
1591	180162	159339
1592	180276	159227
1593	180372	159098
1594	180458	158962
1595	180549	158829
1596	180632	158689
1597	180734	158566
1598	180837	158444
1599	180934	158317
1600	181067	158222
1601	181201	158126
1602	181321	158020
1603	181422	157895
1604	181532	157780
1605	181647	157669
1606	181760	157556
1607	181854	157426
1608	181958	157304
1609	182084	157203
1610	182205	157097
1611	182299	156967
1612	182404	156847
1613	182530	156745
1614	182649	156637
1615	182764	156526
1616	182867	156404
1617	182971	156283
1618	183107	156189
1619	183220	156076
1620	183330	155960
1621	183435	155841
1622	183546	155726
1623	183649	155604
1624	183765	155493
1625	183862	155366
1626	183951	155234
1627	184065	155121
1628	184158	154991
1629	184267	154875
1630	184370	154753
1631	184488	154644
1632	184583	154516
1633	184680	154389
1634	184815	154295
1635	184927	154181
1636	185038	154067
1637	185159	153960
1638	185249	153828
1639	185359	153712
1640	185468	153596
1641	185570	153474
1642	185684	153362
1643	185813	153261
1644	185947	153166
1645	186098	153084
1646	186217	152976
1647	186310	152846
1648	186421	152732
1649	186519	152606
1650	186612	152477
1651	186712	152353
1652	186826	152241
1653	186926	152117
1654	187029	151997
1655	187131	151874
1656	187238	151757
1657	187359	151650
1658	187472	151537
